restaurant_id,restaurant_name,restaurant_city,bill_no,sold_at,payment_method,bill_total,item_code,item_name,item_category,quantity,unit_price,line_total
5,La Tortilla Maña,Zaragoza,BILL-EBFFAE44A6AF,2026-05-03T14:26:51+00:00,card,54.0,TORTILLA_VEGAN,Tortilla Vegana,tortilla,1,9.0,9.0
5,La Tortilla Maña,Zaragoza,BILL-EBFFAE44A6AF,2026-05-03T14:26:51+00:00,card,54.0,TORTILLA_ONION,Tortilla con Cebolla,tortilla,3,8.5,25.5
5,La Tortilla Maña,Zaragoza,BILL-EBFFAE44A6AF,2026-05-03T14:26:51+00:00,card,54.0,TORTILLA_JAMON,Tortilla con Jamón,tortilla,1,10.5,10.5
5,La Tortilla Maña,Zaragoza,BILL-EBFFAE44A6AF,2026-05-03T14:26:51+00:00,card,54.0,SALAD_GREEN,Ensalada Verde,sides,2,4.5,9.0
5,La Tortilla Maña,Zaragoza,BILL-5A71FAE89A2D,2026-05-03T21:11:54+00:00,cash,25.5,TORTILLA_ONION,Tortilla con Cebolla,tortilla,3,8.5,25.5
5,La Tortilla Maña,Zaragoza,BILL-01D8B6C24517,2026-05-03T17:58:57+00:00,card,55.3,TORTILLA_ONION,Tortilla con Cebolla,tortilla,3,8.5,25.5
5,La Tortilla Maña,Zaragoza,BILL-01D8B6C24517,2026-05-03T17:58:57+00:00,card,55.3,BREAD,Pan Tostado,sides,2,2.0,4.0
5,La Tortilla Maña,Zaragoza,BILL-01D8B6C24517,2026-05-03T17:58:57+00:00,card,55.3,TORTILLA_NO_ONION,Tortilla sin Cebolla,tortilla,2,8.5,17.0
5,La Tortilla Maña,Zaragoza,BILL-01D8B6C24517,2026-05-03T17:58:57+00:00,card,55.3,WINE_GLASS,Vino de la Casa,drinks,2,3.2,6.4
5,La Tortilla Maña,Zaragoza,BILL-01D8B6C24517,2026-05-03T17:58:57+00:00,card,55.3,WATER,Agua Mineral,drinks,2,1.2,2.4
5,La Tortilla Maña,Zaragoza,BILL-ED8F7ECFB254,2026-05-03T12:45:59+00:00,contactless,39.4,TORTILLA_NO_ONION,Tortilla sin Cebolla,tortilla,2,8.5,17.0
5,La Tortilla Maña,Zaragoza,BILL-ED8F7ECFB254,2026-05-03T12:45:59+00:00,contactless,39.4,COFFEE,Café con Leche,drinks,3,1.8,5.4
