restaurant_id,restaurant_name,restaurant_city,bill_no,sold_at,payment_method,bill_total,item_code,item_name,item_category,quantity,unit_price,line_total
2,El Rincón Tortillero,Barcelona,BILL-322DDA879D01,2026-05-04T11:05:01+00:00,contactless,40.9,TORTILLA_JAMON,Tortilla con Jamón,tortilla,1,10.5,10.5
2,El Rincón Tortillero,Barcelona,BILL-322DDA879D01,2026-05-04T11:05:01+00:00,contactless,40.9,JUICE_OJ,Zumo de Naranja Natural,drinks,1,2.5,2.5
2,El Rincón Tortillero,Barcelona,BILL-322DDA879D01,2026-05-04T11:05:01+00:00,contactless,40.9,TORTILLA_ONION,Tortilla con Cebolla,tortilla,3,8.5,25.5
2,El Rincón Tortillero,Barcelona,BILL-322DDA879D01,2026-05-04T11:05:01+00:00,contactless,40.9,WATER,Agua Mineral,drinks,2,1.2,2.4
2,El Rincón Tortillero,Barcelona,BILL-AC88CD52AD9D,2026-05-04T10:18:08+00:00,cash,27.0,TORTILLA_JAMON,Tortilla con Jamón,tortilla,2,10.5,21.0
2,El Rincón Tortillero,Barcelona,BILL-AC88CD52AD9D,2026-05-04T10:18:08+00:00,cash,27.0,BREAD,Pan Tostado,sides,3,2.0,6.0
2,El Rincón Tortillero,Barcelona,BILL-48CF431EF867,2026-05-04T12:18:32+00:00,cash,38.7,TORTILLA_JAMON,Tortilla con Jamón,tortilla,3,10.5,31.5
2,El Rincón Tortillero,Barcelona,BILL-48CF431EF867,2026-05-04T12:18:32+00:00,cash,38.7,BEER,Cerveza Caña,drinks,1,2.8,2.8
2,El Rincón Tortillero,Barcelona,BILL-48CF431EF867,2026-05-04T12:18:32+00:00,cash,38.7,SOFT_DRINK,Refresco,drinks,2,2.2,4.4
2,El Rincón Tortillero,Barcelona,BILL-C243A0E68B2F,2026-05-04T21:12:45+00:00,contactless,42.8,TORTILLA_CLASSIC,Tortilla Española Clásica,tortilla,3,8.5,25.5
2,El Rincón Tortillero,Barcelona,BILL-C243A0E68B2F,2026-05-04T21:12:45+00:00,contactless,42.8,BREAD,Pan Tostado,sides,1,2.0,2.0
2,El Rincón Tortillero,Barcelona,BILL-C243A0E68B2F,2026-05-04T21:12:45+00:00,contactless,42.8,TORTILLA_ONION,Tortilla con Cebolla,tortilla,1,8.5,8.5
2,El Rincón Tortillero,Barcelona,BILL-C243A0E68B2F,2026-05-04T21:12:45+00:00,contactless,42.8,WINE_GLASS,Vino de la Casa,drinks,1,3.2,3.2
2,El Rincón Tortillero,Barcelona,BILL-C243A0E68B2F,2026-05-04T21:12:45+00:00,contactless,42.8,WATER,Agua Mineral,drinks,3,1.2,3.6
2,El Rincón Tortillero,Barcelona,BILL-7E815E9D3954,2026-05-04T12:39:28+00:00,contactless,69.5,TORTILLA_ONION,Tortilla con Cebolla,tortilla,2,8.5,17.0
2,El Rincón Tortillero,Barcelona,BILL-7E815E9D3954,2026-05-04T12:39:28+00:00,contactless,69.5,TORTILLA_VEGAN,Tortilla Vegana,tortilla,2,9.0,18.0
2,El Rincón Tortillero,Barcelona,BILL-7E815E9D3954,2026-05-04T12:39:28+00:00,contactless,69.5,TORTILLA_ONION,Tortilla con Cebolla,tortilla,3,8.5,25.5
2,El Rincón Tortillero,Barcelona,BILL-7E815E9D3954,2026-05-04T12:39:28+00:00,contactless,69.5,TORTILLA_VEGAN,Tortilla Vegana,tortilla,1,9.0,9.0
2,El Rincón Tortillero,Barcelona,BILL-D8A79D454C61,2026-05-04T12:48:20+00:00,card,53.5,TORTILLA_VEGAN,Tortilla Vegana,tortilla,2,9.0,18.0
2,El Rincón Tortillero,Barcelona,BILL-D8A79D454C61,2026-05-04T12:48:20+00:00,card,53.5,TORTILLA_CLASSIC,Tortilla Española Clásica,tortilla,1,8.5,8.5
2,El Rincón Tortillero,Barcelona,BILL-D8A79D454C61,2026-05-04T12:48:20+00:00,card,53.5,TORTILLA_VEGAN,Tortilla Vegana,tortilla,3,9.0,27.0
2,El Rincón Tortillero,Barcelona,BILL-8EF28C2CACFC,2026-05-04T20:30:09+00:00,contactless,17.0,TORTILLA_CLASSIC,Tortilla Española Clásica,tortilla,2,8.5,17.0
2,El Rincón Tortillero,Barcelona,BILL-B9E98CB7EB73,2026-05-04T13:56:08+00:00,contactless,56.3,TORTILLA_CLASSIC,Tortilla Española Clásica,tortilla,3,8.5,25.5
2,El Rincón Tortillero,Barcelona,BILL-B9E98CB7EB73,2026-05-04T13:56:08+00:00,contactless,56.3,BEER,Cerveza Caña,drinks,1,2.8,2.8
